Date,S1_TSMOM,S5_Donchian,S7_Halloween,S8_TurnOfMonth,S9_RiskParity,S10_SectorRotation,BENCH_SPY,BENCH_XIC.TO
2015-02-05,0.0,0.003519461020044079,0.009252686235537988,0.009252686235537988,0.0,0.0,0.010094869851107635,0.00841050261996834
2015-02-06,0.0,-0.0025653729368848755,-0.002842177210780672,-0.0004,0.0,0.0,-0.0027653664204609907,-0.0029189880011003533
2015-02-09,-0.0002189798756560002,-0.002117956061221116,-0.0024470204656787953,-0.0002189798756560002,-0.0002189798756560002,-0.0002189798756560002,-0.00447544606848882,-0.0004185948628687708
2015-02-10,0.00021902783834470974,0.003794454822669202,0.007000259539293396,0.00021902783834470974,0.00021902783834470974,0.00021902783834470974,0.010652989520968825,0.0033475295576179676
2015-02-11,-0.0002189798756560002,-0.0010703126238115644,0.0015409474829488623,-0.0002189798756560002,-0.0002189798756560002,-0.0002189798756560002,0.0005800613771751451,0.0025018335887225795
2015-02-12,0.0,0.008086126287250694,0.006888399467716022,0.0,0.0,0.0,0.009616973465391254,0.00415982547004079
2015-02-13,0.00021902783834470974,0.006296090468624227,0.0037152688885673246,0.00021902783834470974,0.00021902783834470974,0.00021902783834470974,0.004116506797903874,0.0033140309792307754
2015-02-17,0.0,0.0017996005051206599,0.001612153394132787,0.0,0.0,0.0,0.0015729809719760013,0.0016513258162895728
2015-02-18,0.0,-0.0030208312854076522,-0.0026317265723272976,0.0,0.0,0.0,9.512917522136455e-05,-0.00535858231987596
2015-02-19,0.0,-0.00040346159964035357,-0.0011857068115328495,0.0,0.0,0.0,-0.0007139284172696936,-0.0016574852057960054
2015-02-20,-0.0002189798756560002,0.002031251292091585,0.0027928336414123622,-0.0002189798756560002,-0.0002189798756560002,-0.0002189798756560002,0.006000808130997903,-0.00041514084817317887
2015-02-23,0.00021902783834470974,-0.00019969920327922447,0.0005521028202168932,0.00021902783834470974,0.00021902783834470974,0.00021902783834470974,-0.00014184297929720202,0.0012460486197309883
2015-02-24,-0.0002189798756560002,0.001442379527748683,0.0012127646514586976,-0.0002189798756560002,-0.0002189798756560002,-0.0002189798756560002,0.002840760505172568,-0.00041523120225517296
2015-02-25,0.00021902783834470974,0.0013191579053248416,0.0012346954284447875,0.00021902783834470974,0.00021902783834470974,0.00021902783834470974,-0.0008502501038283317,0.0033196409607179067
2015-02-26,-0.0002189798756560002,-0.0019495219615637274,2.9823490536928787e-05,-0.0002189798756560002,-0.0002189798756560002,-0.0002189798756560002,-0.0011809234211881403,0.0012405704022619979
2015-02-27,0.00021902783834470974,-0.0035321529442216004,-0.0017031730107072152,0.00021902783834470974,0.00021902783834470974,0.00021902783834470974,-0.0034063460214144303,0.0
2015-03-02,-0.0002189798756560002,0.004729572806348772,0.00398277418314541,0.00358277418314541,-0.009873603724158634,-0.0002189798756560002,0.006313431807096981,0.0016521165591938392
2015-03-03,0.00021902783834470974,-0.0060006704602035485,-0.006175538351647469,-0.006175538351647469,-0.0005906676423276898,0.00021902783834470974,-0.004103686555832042,-0.008247390147462896
2015-03-04,0.0,-0.0031021024213039403,-0.0046027344238805945,-0.0046027344238805945,0.0,0.0,-0.004216145233144064,-0.004989323614617125
